CREATED_DATE,SPECIES,LATITUDE,LONGITUDE
2016 Aug 17 09:11:00 AM,WALLAROO,-35.4986301,149.078492
2016 Aug 17 10:41:00 AM,COCKATOO,-35.22432095,149.017864
2016 Aug 17 10:42:00 AM,MAGPIES,-35.22436272,149.0178005
2016 Aug 17 10:43:00 AM,COCKATOO,-35.22442206,149.0178344
2016 Aug 17 12:04:00 PM,WALLAROO,-35.3601159,149.068477
2016 Aug 19 08:26:00 PM,EASTERN GREY KANGAROO,-35.23042011,149.1668324
2016 Aug 20 01:29:00 PM,EASTERN GREY KANGAROO,-35.23894238,149.0556618
2016 Aug 20 06:27:00 PM,RED NECKED WALLABY,-35.58108184,149.0292881
2016 Aug 21 09:57:00 AM,WOMBAT,-35.40564927,149.0641454
2016 Aug 21 12:40:00 PM,MAGPIES,-35.20435271,149.0730765
2016 Aug 22 03:34:00 PM,BRUSHTAIL POSSUM,-35.45342073,149.1188781
2016 Aug 22 10:36:00 AM,WOMBAT,-35.26964391,149.0392421
2016 Aug 22 12:21:00 PM,WOMBAT,-35.44611634,149.079518
2016 Aug 23 01:08:00 PM,EASTERN GREY KANGAROO,-35.23554221,149.1159967
2016 Aug 23 04:18:00 PM,COCKATOO,-35.37712664,149.1120253
2016 Aug 23 10:02:00 PM,WOMBAT,-35.38732904,149.0332866
2016 Aug 23 12:20:00 PM,EASTERN GREY KANGAROO,-35.24428577,149.1350684
2016 Aug 25 04:00:00 PM,EASTERN GREY KANGAROO,-35.21590161,149.1153973
2016 Aug 25 10:33:00 AM,EASTERN GREY KANGAROO,-35.18144506,149.1457403
2016 Aug 28 04:37:00 PM,WOMBAT,-35.4456632,149.1251116
2016 Aug 29 01:23:00 PM,EASTERN GREY KANGAROO,-35.44600597,149.1074051
2016 Aug 29 08:13:00 AM,EASTERN GREY KANGAROO,-35.37769703,149.0716332
2016 Aug 29 11:34:00 AM,EASTERN GREY KANGAROO,-35.39962737,149.1107575
2016 Aug 30 04:01:00 PM,SWAN,-35.45574581,149.0784375
2016 Aug 30 08:33:00 AM,EASTERN GREY KANGAROO,-35.19668477,149.1091808
2016 Aug 30 11:18:00 AM,WALLAROO,-35.37619447,149.1187621
2016 Aug 31 06:55:00 PM,RED NECKED WALLABY,-35.24134991,149.0798046
2016 Dec 01 02:26:00 PM,BROWN SNAKE,-35.34195483,149.0716211
2016 Dec 01 07:31:00 AM,EASTERN GREY KANGAROO,-35.3017795,149.0947818
2016 Dec 01 09:52:00 AM,BROWN SNAKE,-35.43949303,149.1456235
2016 Dec 01 10:15:00 AM,BROWN SNAKE,-35.23769524,149.0903724
2016 Dec 03 02:25:00 PM,BROWN SNAKE,-35.25110183,149.149608
2016 Dec 03 06:59:00 AM,EASTERN GREY KANGAROO,-35.25816729,149.0761665
2016 Dec 03 07:50:00 AM,SWAMP WALLABY,-35.38024023,149.090569
2016 Dec 03 08:14:00 AM,EASTERN GREY KANGAROO,-35.41370867,149.1697582
2016 Dec 03 09:15:00 PM,SWAMP WALLABY,-35.29312275,149.1073004
2016 Dec 05 06:07:00 AM,BRUSHTAIL POSSUM,-35.40980702,149.0574792
2016 Dec 07 01:14:00 PM,BROWN SNAKE,-35.32836387,149.1311788
2016 Dec 08 02:05:00 PM,BRUSHTAIL POSSUM,-35.46119353,149.0750299
2016 Dec 08 09:15:00 AM,SWAMP WALLABY,-35.20551429,149.1110134
2016 Dec 08 12:40:00 PM,WALLAROO,-35.3239064,149.0613
2016 Dec 10 08:33:00 AM,SWAMP WALLABY,-35.33386208,149.1868581
2016 Dec 11 06:52:00 AM,EASTERN GREY KANGAROO,-35.20645502,149.1870414
2016 Dec 11 07:11:00 AM,RED NECKED WALLABY,-35.20977498,149.1956195
2016 Dec 11 07:13:00 AM,RED NECKED WALLABY,-35.21493185,149.1913054
2016 Dec 11 07:30:00 AM,RED NECKED WALLABY,-35.21290785,149.1747519
2016 Dec 12 06:53:00 AM,WALLAROO,-35.20677481,149.1877384
2016 Dec 12 08:29:00 AM,RED NECKED WALLABY,-35.18294961,149.0489858
2016 Dec 13 07:21:00 AM,SWAMP WALLABY,-35.27614822,149.0851725
2016 Dec 13 09:55:00 PM,WOMBAT,-35.26509835,149.0345184
2016 Dec 14 09:08:00 AM,BRUSHTAIL POSSUM,-35.26455414,149.0672929
2016 Dec 15 06:54:00 AM,SWAMP WALLABY,-35.18634241,149.1007748
2016 Dec 17 11:27:00 AM,BROWN SNAKE,-35.37907642,149.1454187
2016 Dec 18 03:37:00 PM,BLUE TONGUE LIZARD,-35.411247,149.0940695
2016 Dec 19 08:40:00 AM,WALLAROO,-35.31555872,149.0871429
2016 Dec 19 09:42:00 AM,WALLAROO,-35.26864602,149.013012
2016 Dec 19 10:01:00 AM,EASTERN GREY KANGAROO,-35.43507476,149.1868893
2016 Dec 21 07:40:00 AM,BRUSHTAIL POSSUM,-35.40630938,149.0464011
2016 Dec 21 12:53:00 AM,BRUSHTAIL POSSUM,-35.20600397,149.0994187
2016 Dec 22 07:12:00 AM,SWAMP WALLABY,-35.38710338,149.1138473
2016 Dec 26 01:08:00 PM,RED NECKED WALLABY,-35.1982653,149.1286937
2016 Dec 26 04:05:00 PM,BROWN SNAKE,-35.20573287,149.0105336
2016 Dec 26 12:02:00 PM,RED NECKED WALLABY,-35.32865016,149.1336349
2016 Dec 27 02:06:00 PM,EASTERN GREY KANGAROO,-35.34732479,149.1168145
2016 Dec 27 12:35:00 PM,BROWN SNAKE,-35.34554891,149.1663709
2016 Dec 28 07:37:00 PM,WOMBAT,-35.26700378,149.0358598
2016 Dec 28 07:45:00 AM,EASTERN GREY KANGAROO,-35.1889715,149.0961148
2016 Dec 28 11:55:00 AM,RED NECKED WALLABY,-35.4601559,149.1516861
2016 Dec 30 12:50:00 PM,EASTERN GREY KANGAROO,-35.17779296,149.0306297
2016 Dec 31 10:05:00 AM,COCKATOO,-35.3452116,149.1386659
2016 Feb 02 01:38:00 PM,BROWN SNAKE,-35.2187343,149.1192372
2016 Feb 02 09:18:00 AM,BROWN SNAKE,-35.27995281,149.11216
2016 Feb 02 12:29:00 PM,BROWN SNAKE,-35.3914492,149.1698826
2016 Feb 04 08:44:00 PM,BROWN SNAKE,-35.26751039,149.1478177
2016 Feb 05 11:08:00 AM,BROWN SNAKE,-35.33214995,149.1698609
2016 Feb 06 08:07:00 AM,COCKATOO,-35.38708594,149.095846
2016 Feb 07 02:17:00 PM,BROWN SNAKE,-35.16445015,149.1343231
2016 Feb 08 01:26:00 PM,BROWN SNAKE,-35.37492165,149.0393873
2016 Feb 08 04:17:00 PM,BROWN SNAKE,-35.45981755,149.0831761
2016 Feb 08 11:14:00 AM,BROWN SNAKE,-35.40758119,149.128924
2016 Feb 08 12:25:00 PM,BRUSHTAIL POSSUM,-35.21803355,149.1376382
2016 Feb 09 02:25:00 PM,BROWN SNAKE,-35.33415869,149.0497032
